Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,937.36","1,918.60","1,833.20","1,936.32","2,054.23","2,186.02","2,309.72","2,453.82",2013
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.054,0.053,0.053,0.053,0.053,0.054,0.055,0.055,2011
Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",19.411,20.001,20.744,21.507,22.309,23.175,24.067,24.975,2014
Afghanistan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2014. Latest actual data is for the solar year 2013/14 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan Afghani Data last updated: 03/2017",18.602,18.721,18.508,18.056,18.346,18.635,18.556,18.235,2014
Afghanistan,Gross national savings,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2014. Latest actual data is for the solar year 2013/14 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan Afghani Data last updated: 03/2017",21.466,25.801,23.04,20.322,20.174,19.701,18.791,16.986,2014
Afghanistan,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2015 Harmonized prices: No Frequency of source data: Monthly Base year: 2015. The base is March 2015=100 Primary domestic currency: Afghan Afghani Data last updated: 03/2017,100.391,104.792,111.079,117.744,124.809,132.297,140.235,148.649,2015
Afghanistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-1.549,4.384,6,6,6,6,6,6,2015
Afghanistan,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2015 Harmonized prices: No Frequency of source data: Monthly Base year: 2015. The base is March 2015=100 Primary domestic currency: Afghan Afghani Data last updated: 03/2017,104.218,109,116.848,123.859,131.29,139.168,147.518,156.369,2015
Afghanistan,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",1.131,4.588,7.2,6,6,6,6,6,2015
Afghanistan,Six-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,
Afghanistan,Volume of imports of goods and services,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2014 Base year: 2003 Primary domestic currency: Afghan Afghani Data last updated: 03/2017,-7.294,-9.692,3.7,2.629,3.559,3.586,4.065,6.226,2014
Afghanistan,Volume of Imports of goods,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2014 Base year: 2003 Primary domestic currency: Afghan Afghani Data last updated: 03/2017,-6.898,-7.492,2.644,1.433,2.773,2.762,3.199,5.303,2014
Afghanistan,Volume of exports of goods and services,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2014 Base year: 2003 Primary domestic currency: Afghan Afghani Data last updated: 03/2017,-49.11,-19.448,7.495,10.938,13.252,15.37,13.154,13.465,2014
Afghanistan,Volume of exports of goods,Percent change,,Source: Various sources: Central Statistical Office; Directions of Trade Statistics; IMF staff Latest actual data: 2014 Base year: 2003 Primary domestic currency: Afghan Afghani Data last updated: 03/2017,-14.684,14.704,11.097,16.604,17.026,16.999,17.227,17.475,2014
Afghanistan,Unemployment rate,Percent of total labor force,,,,,,,,,,,
Afghanistan,Employment,Persons,Millions,,,,,,,,,,
Afghanistan,Population,Persons,Millions,Source: Source: The 2012 revision to the UN World Population Prospects. Latest actual data: 2013 Primary domestic currency: Afghan Afghani Data last updated: 03/2017,32.007,33.4,36.8,36.867,36.933,37,37.514,38.028,2013
Afghanistan,General government revenue,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2014. Latest actual data is for the fiscal year 2012 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Primary domestic currency: Afghan Afghani Data last updated: 03/2017",301.356,344.327,368.993,415.367,469.79,525.2,604.822,665.156,2014
Afghanistan,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,25.036,26.866,26.367,27.054,27.756,28.019,29.003,28.541,2014
Afghanistan,General government total expenditure,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2014. Latest actual data is for the fiscal year 2012 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Primary domestic currency: Afghan Afghani Data last updated: 03/2017",318.255,342.505,361.244,411.756,467.62,531.728,616.536,692.954,2014
Afghanistan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,26.44,26.724,25.814,26.819,27.628,28.367,29.565,29.734,2014
Afghanistan,General government net lending/borrowing,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2014. Latest actual data is for the fiscal year 2012 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Primary domestic currency: Afghan Afghani Data last updated: 03/2017",-16.898,1.822,7.749,3.61,2.17,-6.528,-11.714,-27.798,2014
Afghanistan,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-1.404,0.142,0.554,0.235,0.128,-0.348,-0.562,-1.193,2014
Afghanistan,General government structural balance,National currency,Billions,,,,,,,,,,
Afghanistan,General government structural balance,Percent of potential GDP,,,,,,,,,,,
Afghanistan,General government primary net lending/borrowing,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2014. Latest actual data is for the fiscal year 2012 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Primary domestic currency: Afghan Afghani Data last updated: 03/2017",-16.27,2.616,8.059,3.943,2.532,-6.125,-11.202,-26.549,2014
Afghanistan,General government primary net lending/borrowing,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-1.352,0.204,0.576,0.257,0.15,-0.327,-0.537,-1.139,2014
Afghanistan,General government net debt,National currency,Billions,,,,,,,,,,
Afghanistan,General government net debt,Percent of GDP,,,,,,,,,,,
Afghanistan,General government gross debt,National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2014. Latest actual data is for the fiscal year 2012 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Primary domestic currency: Afghan Afghani Data last updated: 03/2017",111.969,106.002,106.599,103.408,101.669,109.259,133.73,173.517,2014
Afghanistan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,9.302,8.271,7.617,6.735,6.007,5.829,6.413,7.445,2014
Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: Ministry of Finance or Treasury Latest actual data: 2014. Latest actual data is for the fiscal year 2012 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. Start/end months of reporting year: January/December. Until 2012 fiscal accounts have been compiled on the basis of a solar year, which runs from March 21 to March 20. From 2013 data is compiled on a new fiscal year basis that runs from December 21 to December 20. Pre-2013 data is converted to the new fiscal GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government;. Data on general government not available. Valuation of public debt: Nominal value. Debt figures incorporate committed but not yet delivered debt relief. Primary domestic currency: Afghan Afghani Data last updated: 03/2017","1,203.67","1,281.66","1,399.43","1,535.31","1,692.57","1,874.47","2,085.38","2,330.54",2014
Afghanistan,Current account balance,U.S. dollars,Billions,"Source: Various sources: Central Statistical Office; ministry of finance, central bank, Directions of Trade Statistics; Afghanistan Investment Support Agency; IMF staff Latest actual data: 2014 BOP Manual used: Balance of Payments Manual, fifth edition (BPM5). Currently working on the move to BPM 6 Primary domestic currency: Afghan Afghani Data last updated: 03/2017",0.564,1.337,0.928,0.492,0.425,0.266,0.063,-0.364,2014
Afghanistan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",2.864,7.081,4.511,2.266,1.828,1.066,0.235,-1.249,2014
Albania,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015. 2015 data is still semi-final. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2017",738.705,763.844,792.035,824.514,858.595,894.112,931.097,969.641,2015
Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.59,3.403,3.691,4.101,4.133,4.137,4.137,4.14,2015
Albania,"Gross domestic product, current prices",National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015. 2015 data is still semi-final. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2017","1,434.74","1,505.03","1,600.37","1,715.27","1,841.87","1,978.27","2,124.35","2,292.49",2015
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.393,12.126,12.294,12.92,13.838,14.87,15.932,17.141,2015
Albania,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",194.224,197.033,202.058,208.034,214.522,221.255,228.155,236.426,2015
Albania,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","255,680.97","264,792.79","274,991.79","286,712.88","299,027.69","311,880.97","325,286.59","339,278.13",2010
Albania,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","496,592.80","521,730.10","555,641.55","596,459.68","641,479.81","690,053.70","742,157.73","802,143.03",2010
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,943.22","4,203.42","4,268.47","4,492.72","4,819.51","5,186.96","5,565.81","5,997.67",2010
Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,
Albania,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,"See notes for:  Gross domestic product, current prices (National currency).",32.602,34.155,36.198,38.526,40.999,43.556,46.276,49.194,2015
Albania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,284.37","11,840.23","12,567.89","13,396.89","14,278.81","15,192.92","16,166.95","17,213.17",2010
Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.029,2011
Albania,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",44.007,44.064,44.211,44.522,44.925,45.419,45.906,46.601,2015
Albania,Total investment,Percent of GDP,,"Source: IMF Staff Estimates Latest actual data: 2015. 2015 data is still semi-final. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2017",24.598,26.855,28.702,27.498,26.646,25.836,25.371,24.667,2015
Albania,Gross national savings,Percent of GDP,,"Source: IMF Staff Estimates Latest actual data: 2015. 2015 data is still semi-final. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 03/2017",13.84,14.769,15.021,14.505,14.854,14.992,14.78,15.365,2015
Albania,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2016 Notes: CPI basket was expanded on December 2001, 2007, and again in 2015 Harmonized prices: No Frequency of source data: Monthly Base year: 2007. Dec 2007 = 100 Primary domestic currency: Albanian lek Data last updated: 03/2017",119.32,120.841,123.57,127.152,130.977,134.907,138.954,143.123,2016
Albania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1.896,1.275,2.258,2.899,3.008,3,3,3,2016
Albania,"Inflation, end of period consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2016 Notes: CPI basket was expanded on December 2001, 2007, and again in 2015 Harmonized prices: No Frequency of source data: Monthly Base year: 2007. Dec 2007 = 100 Primary domestic currency: Albanian lek Data last updated: 03/2017",119.27,121.866,125.006,128.777,132.641,136.62,140.719,144.94,2016
Albania,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",1.956,2.176,2.577,3.017,3,3,3,3,2016
Albania,Six-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,
Albania,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2015 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2017",0.574,6.678,4.516,2.93,2.479,2.898,4.392,6.581,2015
Albania,Volume of Imports of goods,Percent change,,"Source: Central Bank Latest actual data: 2015 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2017",1.9,3.231,3.787,1.743,0.836,1.537,4.18,5.454,2015
Albania,Volume of exports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2015 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2017",1.827,1.01,3.188,4.883,4.043,4,4.297,4.877,2015
Albania,Volume of exports of goods,Percent change,,"Source: Central Bank Latest actual data: 2015 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products;Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 03/2017",-8.45,-6.064,4.779,5.559,4.242,4.737,5.908,4.735,2015
Albania,Unemployment rate,Percent of total labor force,,Source: National Statistics Office Latest actual data: 2015 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 03/2017,17.1,16.1,15.85,15.6,15.35,15.1,14.85,14.6,2015
Albania,Employment,Persons,Millions,,,,,,,,,,
Albania,Population,Persons,Millions,Source: National Statistics Office. INSTAT Latest actual data: 2010 Primary domestic currency: Albanian lek Data last updated: 03/2017,2.889,2.885,2.88,2.876,2.871,2.867,2.862,2.858,2010
Albania,General government revenue,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2017",377.545,401.082,443.998,460.434,492.277,525.546,561.283,602.068,2015
Albania,General government revenue,Percent of GDP,,See notes for:  General government revenue (National currency).,26.315,26.65,27.744,26.843,26.727,26.566,26.421,26.263,2015
Albania,General government total expenditure,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2017",435.698,426.384,460.188,496.618,537.234,578.486,623.915,668.544,2015
Albania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,30.368,28.331,28.755,28.953,29.168,29.242,29.37,29.162,2015
Albania,General government net lending/borrowing,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2017",-58.153,-25.301,-16.19,-36.185,-44.957,-52.94,-62.632,-66.476,2015
Albania,General government net lending/borrowing,Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-4.053,-1.681,-1.012,-2.11,-2.441,-2.676,-2.948,-2.9,2015
Albania,General government structural balance,National currency,Billions,,,,,,,,,,
Albania,General government structural balance,Percent of potential GDP,,,,,,,,,,,
Albania,General government primary net lending/borrowing,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2017",-19.51,10.958,19.934,0.199,-6.302,-11.168,-17.474,-24.21,2015
Albania,General government primary net lending/borrowing,Percent of GDP,,See notes for:  General government primary net lending/borrowing (National currency).,-1.36,0.728,1.246,0.012,-0.342,-0.565,-0.823,-1.056,2015
Albania,General government net debt,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2017","1,057.15","1,076.64","1,098.48","1,111.26","1,113.30","1,120.71","1,134.49","1,148.49",2015
Albania,General government net debt,Percent of GDP,,See notes for:  General government net debt (National currency).,73.682,71.536,68.639,64.786,60.444,56.651,53.404,50.098,2015
Albania,General government gross debt,National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2017","1,057.15","1,076.64","1,098.48","1,111.26","1,113.30","1,120.71","1,134.49","1,148.49",2015
Albania,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,73.682,71.536,68.639,64.786,60.444,56.651,53.404,50.098,2015
Albania,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"Source: IMF Staff Estimates Latest actual data: 2015 Notes: Authorities are still following GFS 86 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 1986 Basis of recording: Modified Cash Basis General government includes: Central Government;Local Government;Social Security Funds;Monetary Public Corporations, incl. central bank;Nonfinancial Public Corporation; Valuation of public debt: Nominal value Primary domestic currency: Albanian lek Data last updated: 03/2017","1,434.74","1,505.03","1,600.37","1,715.27","1,841.87","1,978.27","2,124.35","2,292.49",2015
Albania,Current account balance,U.S. dollars,Billions,"Source: Central Bank Latest actual data: 2015 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6). BPM 6 data is from the authorities. Primary domestic currency: Albanian lek Data last updated: 03/2017",-1.226,-1.465,-1.682,-1.678,-1.632,-1.612,-1.685,-1.635,2015
Albania,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-10.758,-12.085,-13.681,-12.992,-11.791,-10.843,-10.575,-9.536,2015
Algeria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 04/2017","7,045.50","7,341.58","7,443.64","7,490.93","7,583.96","7,711.93","7,880.05","8,064.09",2015
Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.8,4.202,1.39,0.635,1.242,1.687,2.18,2.336,2015
Algeria,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2015 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 04/2017","16,591.88","17,596.93","19,418.32","20,231.96","21,125.43","22,220.43","23,548.68","24,926.88",2015
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",164.779,160.784,173.947,177.682,181.891,187.567,194.882,202.242,2015
Algeria,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",235.496,239.689,260.871,270.086,278.554,288.131,298.839,309.11,2015
Algeria,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","176,300.69","180,107.18","179,206.09","176,981.96","176,011.62","175,817.08","176,646.86","177,925.67",2015
Algeria,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","415,180.92","431,696.53","467,497.39","478,003.83","490,287.91","506,582.66","527,890.07","549,985.24",2015
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,123.30","3,944.43","4,187.78","4,197.94","4,221.39","4,276.17","4,368.66","4,462.26",2015
